Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
江村　直也,Lotte,920,捕手,8,176,83,B型,右,右,広島,1992-05-06,53,0,22,7,6,0,0,0,0,0,0,0,1,0,0,0,0,-2.15,-1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
大隣　憲司,Lotte,1e3,投手,12,176,88,A型,左,左,京都,1984-11-19,55,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8,0,1,0,0,0,13,1.2,7,2,0,0,0,7,7,4.2,18.72
原　嵩,Lotte,500,投手,3,185,85,B型,右,右,茨城,1997-12-06,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
香月　一也,Lotte,580,内野手,4,176,83,A型,右,左,福岡,1996-04-16,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
高野　圭佑,Lotte,900,投手,3,178,76,A型,右,右,広島,1991-12-28,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
細谷　圭,Lotte,2520,内野手,13,182,84,B型,右,右,群馬,1988-01-17,59,0.222,6,10,9,2,0,0,0,1,0,1,0,0,0.3,0.222,0.522,2.58,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
阿部　和成,Lotte,810,投手,11,183,80,A型,右,右,福岡,1989-05-19,60,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,0,1,0,0,0,19,3.2,4,0,3,0,2,3,1,1.91,3.67
三家　和真,Lotte,520,外野手,4,180,80,B型,右,両,和歌山,1993-08-13,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
永野　将司,Lotte,770,投手,1,181,82,A型,左,左,大分,1993-03-02,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
種市　篤暉,Lotte,480,投手,2,183,83,AB型,右,右,青森,1998-09-07,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
二木　康太,Lotte,4e3,投手,5,190,85,O型,右,右,鹿児島,1995-08-01,64,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,0,0,0.5,116,27,25,4,13,0,23,14,12,1.41,4.68
ペゲーロ,Lotte,640,外野手,1,183,86,不明,右,右,ドミニカ共和国,1988-06-01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岡田　幸文,Lotte,3140,外野手,10,177,70,O型,左,左,栃木,1984-07-06,66,0,49,10,7,0,0,0,4,2,0,2,1,1,0.222,0,0.222,-2.43,-1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
